time,text,stock_symbol
"4 Jul, 2025 10:48 AM",Stocks went up but the debt went up the same percentage.  Over last 6 months the debt rose 30%.,META
"4 Jul, 2025 10:31 AM",wall street mggts think meta is over spending. interesting how very few of them could run thier own business and the are supposed to be expert analysts and are wrong 80% of the time.,META
"4 Jul, 2025 06:35 AM","In the first half of 2025, companies announced 744,308 job cuts nationwide, the highest tally since the first six months of 2020, when employers cut nearly 1.6 million jobs in response to COVID-related disruptions, according to outplacement firm Challenger, Gray & Christmas.",META
"4 Jul, 2025 05:58 AM",800 sooon!,META
"4 Jul, 2025 05:36 AM",There's no way Meta doesn't hit $750 again. And soon.,META
"4 Jul, 2025 05:33 AM","The tariff trade war is just beginning: "" China knocks Trump trade deal with Vietnam ""

""China knocked the newly announced U.S. trade deal with Vietnam, saying Beijing “firmly opposes” any deal that disadvantages its economy and pledged to take “countermeasures” to protect its own interests.

The trade...

See more",META
"4 Jul, 2025 04:43 AM",Back to $700,META
"4 Jul, 2025 04:25 AM","What will tariffs do to US Consumers? Here is a taste of it ""Nike Likely to Raise Prices Even More After Vietnam Trade Deal""",META
"4 Jul, 2025 02:44 AM",What time does the extended trading market close today?,META
"4 Jul, 2025 02:07 AM",knew those mggts wouldn't pay the 720 calls. they sure fkd a lot if people,META
"4 Jul, 2025 01:44 AM",Why not 720,META
"4 Jul, 2025 01:33 AM",looks like we are basing for the next run up. feeling a pretty good pop monday. today will be a manipulated nothing burger,META
"4 Jul, 2025 01:03 AM",Read the Mets message board on StockTwits and you'll realize how much of a daytrading and shott term options trading magnet this stock is....there is no such thing as a pure iinvestment anymore....this is just a short term trade....sad what has become of US markets,META
"4 Jul, 2025 01:00 AM",we should all know better tht this house of cards will fall when they regulate ai to the states,META
"4 Jul, 2025 12:45 AM",wall street market makers wont let this close over 720,META
"4 Jul, 2025 12:41 AM",buy more here thisnisnon way to 800 now that they long all the way,META
"4 Jul, 2025 12:32 AM",Just 1 more dollar,META
"4 Jul, 2025 12:24 AM",Can I get a 720,META
"4 Jul, 2025 12:19 AM","Scrolling comments.  No content here, none.",META
"4 Jul, 2025 12:11 AM",Buy,META
"4 Jul, 2025 12:11 AM",thats it..wall street works like that theyll jack this 30 points next week might as well with thd pensjon funds,META
"4 Jul, 2025 12:10 AM",hedgies about done.already on the road to hamotons,META
"4 Jul, 2025 12:09 AM",zuckerberry is the mother of dragons,META
"4 Jul, 2025 12:05 AM",yes 720 pleae,META
"4 Jul, 2025 12:03 AM",get out before the hedgies day trading sell out before getting into and plastic suaerkrauts cars to the hemptons,META
"4 Jul, 2025 12:03 AM",Long Meta,META
"4 Jul, 2025 12:02 AM",Plz 720🚀,META
"4 Jul, 2025 12:02 AM",Yes 720 then I am out,META
"4 Jul, 2025 12:02 AM",right back up after i sell..let me wait until it gies back up before i buy,META
"3 Jul, 2025 11:58 PM",sborts are gonna have to throw in the towel and they wont yet,META
"3 Jul, 2025 11:58 PM",they not gonna ket this go anywhere will all those shorts on this so obvious they cant lose they own the banks,META
"3 Jul, 2025 11:57 PM",what a joke,META
"3 Jul, 2025 11:57 PM",option expirati9n causing this,META
"3 Jul, 2025 11:55 PM",Plz 720,META
"3 Jul, 2025 11:55 PM",Plz 720 so many calls,META
"3 Jul, 2025 11:53 PM",im out got .15 cents,META
"3 Jul, 2025 11:52 PM",go zuckerberry,META
"3 Jul, 2025 11:52 PM",bukk run,META
"3 Jul, 2025 11:52 PM",thats its my life savings i to tgis right now put it all on vabk,META
