time,text,stock_symbol
"13 Jul, 2025 04:54 AM",It’s not possible we are past the 500 dollar mark,MSFT
"12 Jul, 2025 11:00 PM","I owned this for the kast 200 points 
I might trim a share or two here and there",MSFT
"12 Jul, 2025 10:28 PM",all time highs!,MSFT
"12 Jul, 2025 12:40 PM","Hopefully IBM WILL SPLIT LATER THIS YEAR,  IF IT & SOFT SPLIT,  ITS OVER, MULTI MILLIONARE",MSFT
"12 Jul, 2025 12:39 PM",U sure about the SPLIT?  MIKE$??,MSFT
"12 Jul, 2025 11:11 AM",Pray for $520+ later this month.,MSFT
"12 Jul, 2025 08:24 AM",Rock solid performer. Never bet against softie.,MSFT
"12 Jul, 2025 05:59 AM",7 to 1 stock split coming wow. they want this stock to get renewed investors going into ai. 79 to 100 will bring it home. get ready everyone.,MSFT
"12 Jul, 2025 04:46 AM",Turning out to be a good day.,MSFT
"12 Jul, 2025 03:45 AM","There will be one! Who will it be Msft,  goog, meta, amazon,  once they have spent all the cash they have on ai",MSFT
"12 Jul, 2025 02:50 AM",Nasdaq down AM up PM since  April 3,MSFT
"12 Jul, 2025 02:15 AM",Short Msft at 504.5 dollar. When Nvida fallls to falt it will become red.,MSFT
"12 Jul, 2025 01:53 AM","Buffett indicator at all time highs this is the most expensive the market has been in history, go buy good value companies and protect your downside. Pollard Banknote is very cheap, durable and has long term contracts for providing lottery tickets. The worse the economy does the more is spent on lo...

See more",MSFT
"12 Jul, 2025 01:43 AM",filled short 6K shares 504.30,MSFT
"12 Jul, 2025 01:15 AM","Great news today, inflation is down a little more.  Now if interest rates could come down a bit we’ll be off to the races.  I think $600 this year is possible.  Of course with inflation of recent years MSFT should be at $1200 or better. Sez me.",MSFT
"12 Jul, 2025 12:53 AM",Expect jump to $600 after earnings.,MSFT
"12 Jul, 2025 12:49 AM",Slowly but surely,MSFT
"12 Jul, 2025 12:29 AM","Green in Red market , this is a sign of a great company ! Remember big ship moves slowly and heading to 600 and beyond , Stay Long !",MSFT
"12 Jul, 2025 12:22 AM",I would buy some msft but it is too expensive,MSFT
"11 Jul, 2025 11:17 PM","under radar (NEUP) - MarketCap 13m - Shrs Out 1,8m -Phase 3 readout during  Q3 =1000% opp.",MSFT
"11 Jul, 2025 11:10 PM",Green incoming……,MSFT
"11 Jul, 2025 10:55 PM","Time for Canadians to go 100% USA stocks, the only way to accumulate real long-term generational wealth. Time to join our big brother.",MSFT
"11 Jul, 2025 10:46 PM","Game over Canada, your Leader is no match.",MSFT
"11 Jul, 2025 10:42 PM","MSFT is down again today, but Meta (which I'm also long on) is down more. Not super worried.",MSFT
"11 Jul, 2025 09:52 PM",All down since the spike to $506.80. Back below $500. Hugging $499 pre market.,MSFT
"11 Jul, 2025 08:39 PM","If you are going to sell all your MSFT shares today due to the new Canada tariffs, reply to my post.",MSFT
"11 Jul, 2025 05:04 PM","Nvida earns net profit 81%. And never think lowering their price. Their big buyers-AWS,Msft AZURE,Google Cloud and Oracle cloud will lower their price up to 50% for Gov. organization usage.",MSFT
"11 Jul, 2025 04:53 PM","(Reuters) -Google  will heavily discount cloud computing services for the United States government, in a deal that could be finalised within weeks, the Financial Times reported on Friday, amid President Donald Trump's efforts to implement sweeping measures to minimize federal spending.

The Wall Stre...

See more",MSFT
"11 Jul, 2025 04:40 PM","Another report in the Global Times mentioned that the theodolite of our Hsiung Feng Missile was sent to Switzerland for maintenance, but the shipping address for returning to Taiwan was Qingdao, Shandong; Some rare earths, such as ""gallium"", are the core materials of advanced radar, and the mainlan...

See more",MSFT
"11 Jul, 2025 02:25 PM",I think it is possible that US will demand Taiwan's $400 billions dollar worth Treasury Bonds changing to 100 years US Treasury Bonds without interest. Then Taiwanese wealth becomes a little only.,MSFT
"11 Jul, 2025 01:06 PM",Still undervalued due to inflation,MSFT
"11 Jul, 2025 11:55 AM",TACO TACO TACO.... Tarrifs never gonna happen...  BUY BUY BUY...,MSFT
"11 Jul, 2025 09:25 AM",After hour action shows another wonderful day for msft.,MSFT
"11 Jul, 2025 06:27 AM",we held $500!,MSFT
"11 Jul, 2025 05:56 AM","I could be wrong, but the after market prices on my page was showing $480 something for just 1 sec. My heart stop beating at that moment.",MSFT
"11 Jul, 2025 05:38 AM",Sell,MSFT
"11 Jul, 2025 04:53 AM",The road to 500 was never a straight line. The road to 600 won’t be either. This 1 yr climb upward to 600 will encounter many obstacles and will weed out the weakest of hearts 💕- Only the true and strong investors will arrive and traders will fall by the wayside along the journey.,MSFT
"11 Jul, 2025 04:38 AM",This might creep back to unchanged by close,MSFT
"11 Jul, 2025 03:34 AM",New record today!,MSFT
"11 Jul, 2025 03:19 AM","sold msft, bought WEED stock",MSFT
"11 Jul, 2025 01:36 AM","Nvida now is 4 trillions Co. So Nvida rises 1 dollars; Nasdaq will rise 23 points. So when Nvdia rises, they want to pump other stocks and then sell them just like yesterday. So sell other stocks like TSla and Msft or Meta.",MSFT
"11 Jul, 2025 01:36 AM",Short Msft at 500 dollar. Today is the last time it surfaces above 500 dollar. It will fall to 400 dollar in the year's end.,MSFT
"11 Jul, 2025 12:37 AM",MSFT is a beast!  MSFT Long and Strong!!!!!!!,MSFT
"11 Jul, 2025 12:32 AM",God bless me with everything I to,MSFT
"11 Jul, 2025 12:27 AM",Easy path to 600+,MSFT
"10 Jul, 2025 11:59 PM",Meta and Amazon fell too today. I don't think this pullback is MSFT specific.,MSFT
"10 Jul, 2025 11:53 PM",Dead cat bounce the $500 before more selling.,MSFT
