time,text,stock_symbol
"13 Jul, 2025 07:44 AM","I am Melon MUSKU and I want to know

Where is the Epstein list?

My Ex-boyfriend the orange TAKKKO supreme draft dodger bone spurs guy said He was going to release it before the election.

I spent 369 millions of dollars to elect this loser

Pam Bondie aka Pam Blondie said it was on her desk

and now a week ...

See more",NFLX
"13 Jul, 2025 04:31 AM",NFLX... 2 % Gains for the month and 90 % Gains for the Year as Dip-buyers Keep Arriving.,NFLX
"13 Jul, 2025 12:02 AM","The Women's Boxing match lastnight made history with the most-watched Women's sporting event in history with 74 million views!!  

Oh by the way!  Earnings are next week!",NFLX
"12 Jul, 2025 09:05 PM","Hey Kids

What do you think about the orange TAKKKO supreme draft dodger bone spurs guy

And the tariffs trash?",NFLX
"12 Jul, 2025 12:45 PM",Before results down but resultday very good performance… always  going up.,NFLX
"12 Jul, 2025 12:22 PM",What a big mistake to buy at such a high price....,NFLX
"12 Jul, 2025 09:46 AM",This going to 1500 after earnings,NFLX
"12 Jul, 2025 07:54 AM",August will provide a catalyst in tbe form of an update on NFL games to be broadcast this year. A pause is just a pause. Sell at your own risk here.,NFLX
"12 Jul, 2025 05:39 AM",A 10-1 stock split post earnings would be perfect to diversify ownership with affordable shares!,NFLX
"12 Jul, 2025 04:58 AM",This will really tank if the ER isn't perfect....valued way too high leaves alotta room for the plummet,NFLX
"12 Jul, 2025 04:55 AM","Bears are you smelling the coffee yet? 

Don't say you didn't have the chance to scoop up shares cheap-cheap!!",NFLX
"12 Jul, 2025 04:43 AM","Just bought another parcel for the bounce-back next week. If it runs, great.

If not, will add more per any dips to 50 DMA. Can't lose either way 📈

And yes, I've made a reservation at my favorite restaurant (on 7/18) for a lavish celebration meal!

But truth be told, I'm switching from steak to seafood...

See more",NFLX
"12 Jul, 2025 04:22 AM","Posting this note to the top of the stack for the FCF gang. Netflix stopped posting subs growth because it greatly skews their financial performance. It drove the analyst community crazy for a couple quarters, which made for very profitable dips. Likewise, they also don't break out ad revenues for ...

See more",NFLX
"12 Jul, 2025 04:22 AM",No worries. This is the best in class.,NFLX
"12 Jul, 2025 03:32 AM",Might close green!,NFLX
"12 Jul, 2025 02:55 AM",My fault everyone. I bought shares at $1337 and it’s been going down ever since,NFLX
"12 Jul, 2025 02:52 AM",oh this going to take a bath 🤣⚠️🌩️,NFLX
"12 Jul, 2025 02:30 AM","I have asked this group numerous times why I am able to sign in to my daughters account for free, am I one of those 300 million counted  subs? Like tonight I will be allowed to watch the fight and then within a few days access will be denied. They turn it on and off at will. 
I would like an analyst...See more",NFLX
"12 Jul, 2025 02:00 AM",The DELUSION on this stock has been phenomenal. Not that it's not a good stock but the fact that it's absolutely overvalued.,NFLX
"12 Jul, 2025 01:55 AM",Why NFLX down everyday? anyone have the answer. Thx,NFLX
"12 Jul, 2025 01:29 AM",Listen to Josh brown@cnbc. Duediligence and honest!,NFLX
"12 Jul, 2025 01:24 AM",Earnings will be great next week!,NFLX
"12 Jul, 2025 01:14 AM","Bought in at 1280, now it'll go down everyday....Sorry folks, just my luck",NFLX
"12 Jul, 2025 01:11 AM","exit bull whales searching for liquidity, but nothing is there. drip drip drip.",NFLX
"12 Jul, 2025 01:06 AM",I knew this pig would start the unwind in second half. like clockwork with these institutions.,NFLX
"12 Jul, 2025 12:24 AM",I bought a load at 1250 and got really scared when it fell at 1239 this morning. Luckily I sold all break even to try to get some cheaper. I was skeptical people telling me it can go much much lower and now I am a believer. Down with Netflix!!!,NFLX
"12 Jul, 2025 12:20 AM",Can we get Netflix at 1200 or below. Thanks,NFLX
"11 Jul, 2025 11:30 PM","Industry pros are now saying generative AI will substantially reduce Netflix production costs. The future just keeps getting ""more better and better"" 📈

Easy money",NFLX
"11 Jul, 2025 11:11 PM",the dip was a gift,NFLX
"11 Jul, 2025 10:52 PM","Perfect $1,240s buy opportunity timed just right before the ER.",NFLX
"11 Jul, 2025 10:50 PM","Finally, it drops to my predictions of $1250 and lower.",NFLX
"11 Jul, 2025 10:48 PM",Bought dip for 1255,NFLX
"11 Jul, 2025 10:46 PM",Buy high sell low. Winning strategy.,NFLX
"11 Jul, 2025 10:43 PM",was july 1 $1338,NFLX
"11 Jul, 2025 10:39 PM",I know you really want sub 1k,NFLX
"11 Jul, 2025 10:21 PM","Nflx  overpriced  service  price keep going up
They are all old movie the company make a lot of money they don’t care children don’t have no money to watch education movie on summer
Parents have no money to pay  for the service",NFLX
"11 Jul, 2025 10:16 PM","Weak dollar should explode earnings?

Buy!",NFLX
"11 Jul, 2025 10:01 PM","Needham thinks 71x would be more appropriate!  lol

The BOAT",NFLX
"11 Jul, 2025 09:57 PM","Too funny 3 more analyst came out today, JP Morgan being one and  raised target to 1230 from 1220 and has a neutral rating. A couple others jumped on the bandwagon raising targets before earnings. None of these analyst targets ever attach timeframes or valuation metrics.",NFLX
"11 Jul, 2025 08:43 PM",overvalued..it's overvalued,NFLX
"11 Jul, 2025 08:36 PM",Is it possible see today $1280 ?,NFLX
"11 Jul, 2025 01:16 PM",With the earnings and membership beat coming up I think this $100 dip is a buy signal,NFLX
"11 Jul, 2025 12:02 PM",TACO TACO TACO....  Tarrifs never gonna happen....  BUY BUY BUY...,NFLX
"11 Jul, 2025 08:28 AM",going to have to figure how to get more from each turnip because there are only so many subscriptions and not enough households to sustain. would not bet against them figuring out how to get one or two more bucks out of each of us before year end.,NFLX
"11 Jul, 2025 05:20 AM",Drop today is VERY beneficial and highly bullish. Notice the stairstep pattern for the last 4 months. Earnings next week are going to blow this stock upward. Only 5 trading days left to accumulate!,NFLX
"11 Jul, 2025 05:11 AM",i cant believe i bought at the very top xD,NFLX
"11 Jul, 2025 05:07 AM",10:1 split announcement today?,NFLX
"11 Jul, 2025 04:51 AM",Netflix House?  Seriously?,NFLX
"11 Jul, 2025 04:39 AM",Netflix dumps before earnings. Hot shorts here with lack of confidence from longs day of earnings.,NFLX
