time,text,stock_symbol
"4 Jul, 2025 04:27 PM","1  Bidenomics?

2  Donkeynomics?

or 

3  MAGAnomics that actually works.

Then bring Musk back to DOGE the Pharma out of Insurance, so America can prosper like never before.",TSLA
"4 Jul, 2025 04:07 PM",TSLA she go.......PLOP!,TSLA
"4 Jul, 2025 04:06 PM",Goldman Sachs are such 🤡 for raising their PT after the passing of the BBB. LOL,TSLA
"4 Jul, 2025 03:55 PM","Somebody was saying Elon is going to unload everything, is that true?",TSLA
"4 Jul, 2025 03:42 PM","Warning: Long read

I was very active a few years back on an online motorcycle forum. I new member wrote up a post asking for advice. He was an American living in Central America teaching grade school children. The school was way up on a mountain and his only transportation was a 2 hour school bus ri...

See more",TSLA
"4 Jul, 2025 03:28 PM",Why didnt Musk say something about the BBB a year ago when he campaigned for Trump. He's a phony.,TSLA
"4 Jul, 2025 03:26 PM","German Borse opens soon, wonder how euro Tesla shares would do today",TSLA
"4 Jul, 2025 03:22 PM",Musk be farked.,TSLA
"4 Jul, 2025 03:21 PM",You dems dont deserve any tax cuts.,TSLA
"4 Jul, 2025 03:11 PM",Happy 4th of July 🧨🎇,TSLA
"4 Jul, 2025 02:36 PM","1  Bidenomics?

2  Donkeynomics?

or 

3  MAGAnomics that actually works.

Then bring Musk back to DOGE Pharma and Insurance, so America can prosper like never before.",TSLA
"4 Jul, 2025 02:35 PM","The ‘Me Too Movement’ skipped the Diddy trial.

Believe all women, unless they accuse democrats.",TSLA
"4 Jul, 2025 02:00 PM",who wants an ev that's going to cost double what a Toyota is,TSLA
"4 Jul, 2025 01:55 PM",Lots of Tesla in the streets 🤑🌊🏄🏻‍♂️,TSLA
"4 Jul, 2025 01:49 PM","""Tesla is easily the best entertainment stock out there. No other stock lets you share in the excitement quite like Tesla. Buy some fun-shares today.""
As a Tesla bull, I resemble this ad.",TSLA
"4 Jul, 2025 01:40 PM",Trump's Sec'y of Education thinks AI stands for A-1 (google it) and Trump thinks the way to meet the demands of an exponential increase in the use of electricity is best met with fossil fuels and not those fruity lib alternative energy sources.  What could go wrong?,TSLA
"4 Jul, 2025 01:30 PM",No EV credits no profit.,TSLA
"4 Jul, 2025 01:27 PM","Predictions for Monday 7/7 Open?

I'm going with $286.   And dropping.",TSLA
"4 Jul, 2025 01:25 PM","I'm drinking Buffalo Trace Bourbon tonight. 

A Great Day to be Alive.",TSLA
"4 Jul, 2025 01:11 PM",Trump's MAGA rather accidently makes China great again. American car industry all plan to go to China making factories because of rare earth.,TSLA
"4 Jul, 2025 01:02 PM",Ev rebate ending with new bill passed. why would i buy an ev now,TSLA
"4 Jul, 2025 01:02 PM","Remember Elon still holds the nucleur option "" AFFORDABLE EV "" .. when that announcement finally comes out in the 2nd half of this year, Tesla will rocket to MARS.

For now focus on strong sales in July, August, Sept",TSLA
"4 Jul, 2025 12:56 PM","One Big Beautiful Bil .. soon a done deal

Tesla sales will go up dramatically in July, August, Sept",TSLA
"4 Jul, 2025 12:55 PM","For my fav and go go knows it.

It's jed. Go go. For u

Alex warren. Carry you home.",TSLA
"4 Jul, 2025 12:49 PM","Donald approval ratings down to 35% to 46% .... was 65%

MAGA wants him out",TSLA
"4 Jul, 2025 12:48 PM","Republicans in Congress have structured the most painful benefit cuts in their budget bill to kick in AFTER the 2026 midterms.

But the tax cuts for the ultra-wealthy? Those begin immediately.

Remember this....",TSLA
"4 Jul, 2025 12:40 PM","evidently, there is a lot of place for it, not that I approve of it but you can't deny its existence",TSLA
"4 Jul, 2025 12:39 PM",I don't think the Democrats even if I am one could plan anything that was organized and besides cities as a rule have local interest that are outside a lot of party politics,TSLA
"4 Jul, 2025 12:39 PM","there's no place for fascism in united states

remove his power in 2026",TSLA
"4 Jul, 2025 12:37 PM","I think that Tesla has a bright future, but I'm not sure those politics have a whole lot to do with it though getting environmental energy and pollution programs back would be good",TSLA
"4 Jul, 2025 12:37 PM",Democrats are currently planning a robotaxi banning campaign.  It will never see the streets in democrat controlled states.,TSLA
"4 Jul, 2025 12:36 PM","Donald approval ratings going down the toilet .. inflation, tariffs, deportation, cutting medicaid ... all hurting the american people, especially the US farmers.

American going to vote the GOP out in the 2026 Mid Term Election .. bright future ahead for Tesla",TSLA
"4 Jul, 2025 12:35 PM",I guess America party would probably depress Tesla stock cuz it would mean Elon was off into politics again,TSLA
"4 Jul, 2025 12:30 PM","Elon will put the democrat back in power in the 2026 Mid Term Election.

Elon is untouchable .. backed by China and the Democrats.

Many democrats now supporting Elon Musk again.",TSLA
"4 Jul, 2025 12:29 PM",The red hats are going to get what they begged for. Congratulations.,TSLA
"4 Jul, 2025 12:29 PM","I'm a Democrat and an ardent supporter of ""environmental Tesla"" and of course think Elon has gone off the deep end. This ""America Party"" looks promising, certainly help the Democrats get control of Congress again. Though I remember an old Will Rogers quote: “I am not a member of any organized polit...See more",TSLA
"4 Jul, 2025 11:55 AM","Blackrock's largest Mega Cap Bubble stock, headline:  Microsoft layoffs hit 830 workers in home state of Washington",TSLA
"4 Jul, 2025 11:52 AM","Entire market will go down next week due to BBB and the Job's number on Friday.... no job, no money to spend on a car.  TSLA will be down 10-20% next week.",TSLA
"4 Jul, 2025 11:32 AM","Don't worry about Waymo, they're going to survive. Tesla will keep them alive to combat Federal antitrust actions.
... Tesla's going to let Waymo keep Phoenix.",TSLA
"4 Jul, 2025 11:16 AM","Cybertruck was an absolute flop, but I'll get to that on Monday.",TSLA
"4 Jul, 2025 11:12 AM","Go go a go go

Song for u. Miss u.",TSLA
"4 Jul, 2025 11:09 AM",Sell now before Trump puts Elon in jail. Never mess with Trump. Did you listen to Trump and buy bitcoin?,TSLA
"4 Jul, 2025 11:06 AM","How could anyone hold stock in a comppany, where the company CEO is on the President's search and destroy list.

Seriously Putin uses poisoned tipped umbrellas to take out his enemies. Wonder what Trump will use???",TSLA
"4 Jul, 2025 11:06 AM","We all know TSLA will be fine after the stock is  double digits or 100's 

Can't complete in China or any place that sells Xiaomi. TSLA's like MySpace, Xiaomi is Tiktok. TSLA isn't cool anymore.

Robotaxi needs LiDAR, camera's will result in accidents, headlines will destroy this company

Musk needs to s...

See more",TSLA
"4 Jul, 2025 11:01 AM","Elon is trying to figure out how to sell a tarnished brand in a market that doesn't want tesla. He can scam India and get Turkey to buy through favors of shady internet censorship. Search, 'Elon turns off twitter in Turkey'. During the political protests, he used the platform, where he championed a...See more",TSLA
"4 Jul, 2025 11:00 AM","OBBBA: “Ends the $7,500 federal tax credit for new EVs and the $4,000 credit for used EVs, making EVs more expensive for consumers”",TSLA
"4 Jul, 2025 10:57 AM",American Party comes out next week. Anyone wanna to be in?,TSLA
"4 Jul, 2025 10:56 AM","Optimus shelved for now ----Cybercab /Taxi not close to ready - multiple issues flagged

Maybe he needs to get out of the states, to toxic -- take a holiday in Mexico -- restart GigaMexico and have a chill time. I am sure Mexico will welcome him with open arms.",TSLA
"4 Jul, 2025 10:54 AM",OBBBA passes the house but Elon has power of veto.,TSLA
"4 Jul, 2025 10:50 AM","While the BBB didn’t impact state ZEV credits, I didn’t realize that congress passed resolutions in May and Trump signed into law a revocation of California’s ability to set its own clean air standards. They had been given this authority in the ‘70s by EPA. Other states that do this are able to do ...See more",TSLA
