summary,sentiment,keywords
" Shares in Coinbase (COIN) were down in pre-market trading, extending a 7% slide from the previous session . US cryptocurrency exchange revealed it had been the target of a cyberattack in which customer data was stolen and a $20m ransom demanded . The breach comes just days before the company is scheduled to join the S&P 500 index on 19 May .  Bitcoin firm's shares had rallied on Tuesday following announcement of its S&P 500 inclusion . But news of the cyberattack and a separate regulatory issue has tempered market enthusiasm .  Shares in Netflix rose in pre-market trading on Friday after the streaming giant said its advertising-supported tier had reached 94 million users, up from 70 million in November . With more than 300 million global subscribers, Netflix (NFLX) said spending across all tiers remains strong .  Mediterranean fast-casual chain Cava reported stronger-than-expected same-store sales and solid traffic growth in its latest fiscal quarter . Shares in Cava (CAVA) fell in early trading despite strong sales and revenue growth . Steve Weiss, chief investment officer and managing partner at Short Hills Capital Partners, has increased his holdings in Netflix .  Cava (CAVA) posted nearly 11% same-restaurant sales growth, underlining demand across its footprint . However, the company reported a slight decline in restaurant-level profit margin, which fell 10 basis points to 25.1% . The dip was attributed to higher food costs, particularly related to the launch of grilled steak .  Shares in Meta (META) were trading lower ahead of the US market open on Friday following reports that the company has delayed the launch of a major update to its flagship AI model . The delay comes despite Meta promoting upgrades to two smaller Llama models during its AI event in late April .  Mark Zuckerberg has told investors that Meta (META) plans to spend around $68bn on capital expenditures in 2025 . The delay adds to investor concerns about the effectiveness and return on those hefty investments .  Landsec reported a pre-tax profit of £393m for the year to the end of March . The company shrugged off any impact of US tariffs on business investment . The total value of its property portfolio jumped to £10.88bn, from £9.96bn this time last year .",negative,"shares, market, coinbase, holdings, investors"
" Meta (META) reportedly has delayed the release of its latest artificial intelligence model . Engineers have struggled to improve the large-language model’s performance compared to earlier versions in the Llama model family . This has prompted internal debate about whether the upgrade is substantial enough to merit public release .  Meta has spent billions on AI development, with plans for up to $65 billion this year . Internal sources say the model is facing training challenges, and its real-world performance may not live up to the company’s public claims .  Meta submitted to a widely used AI chatbot leaderboard was not the same version released to the public . Anthropic has likewise delayed the release of Claude 3.5 Opus, a larger and more powerful AI model, though it said the release is imminent .",negative,"ai, meta, chatbot, intelligence, versions"
 Facebook parent Meta (META) is reportedly pushing back the launch of its “Behemoth” AI model . The Facebook parent had originally planned to roll out the new version of its Llama 4 large language model in April . The company has not offered a public timeline for the release .,neutral,"facebook, meta, parent, behemoth, planned"
" Wall Street traders drove stocks higher as bond yields sank after the latest economic data spurred speculation the Federal Reserve will cut interest rates twice this year . The S&P 500 rose for a fourth straight day . Despite the gain, caution lurked in the background after a furious rally spurred worries about an overheated market .  The S&P 500 rose 0.4% and the Nasdaq 100 was little changed . The Dow Jones Industrial Average added 0.65% . Canada’s stock benchmark hit a record with an eight-stock milestone .  The S&P 500 is about 4% away from an all-time high . The Nasdaq 100 swung from a bear market back into a bull market . The advance is building as economic tensions between the US and China ease and the White House appears to be softening its approach to trade negotiations .  JPMorgan Chase & Co. Chief Executive Officer Jamie Dimon says a recession remains a possibility . Wells Fargo Investment Institute sees economic growth, clarity around Trump’s tariffs driving further stock-market gains . Fed Governor Michael Barr said the economy is on solid ground, but warned tariff-related supply-chain disruptions could lead to lower growth and higher inflation .  WFII’s new 2025 year-end target is in a range of 5,900 to 6,100 . The gauge closed at 5,916.93 Thursday . The low cost of volatility hedges on offer right now hands investors an opportunity to build a defense against summer volatility .  The dollar’s descent is elevating the price of hedging currency trades around the world . The correlation between the dollar and a gauge of volatility in Group-of-10 currencies fell to the lowest level in seven years . Walmart Inc. delivered another quarter of solid sales and earnings growth .  Dick’s Sporting Goods Inc. reached a $2.4 billion deal to acquire Foot Locker . President Trump said he wants Apple to stop building plants in India to make devices for the US . CoreWeave Inc. has secured a deal worth as much as $4 billion to provide additional cloud computing capacity to artificial intelligence leader OpenAI .  The S&P 500 rose 0.4% as of 4 p.m. New York time The Nasdaq 100 was little changed The Dow Jones Industrial Average rose 0 .65% The MSCI World Index rose by 0.3% The Bloomberg Magnificent 7 Total Return Index fell 1.1%  Gold rose 1.7% to $3,231.82 an ounce . Microsoft’s CEO on How AI Will Remake Every Company, Including His Why Obesity Drugs Are Getting Cheaper — and Also More Expensive .",positive,"stocks, recession, dow, stock, bloomberg"
" Nvidia (NVDA) stock jumped 16% over the five trading sessions ending Friday . This comes ahead of its quarterly earnings report on May 28 . Nvidia unveiled a commitment with Saudi Arabia's new AI venture Humain to supply it with several hundred thousand AI chips .  Nvidia stock jumped 5.6% on Tuesday and another 4% on Wednesday, putting shares into positive territory for the year . CFRA analyst Aaron Siegel said on Wednesday: ""Our outlook on NVDA has considerably improved [in] recent weeks""  Nvidia stock struggled to start 2025 after a new cheap AI model from Chinese startup DeepSeekprompted skepticism of Big Tech's massive spending on AI infrastructure . Microsoft confirmed its previously stated $80 billion AI-fueled capital expenditures for 2025, and Meta upped its own AI-driven investment plans .  Laura Bratton shares her thoughts on the stock market . Follow her on Twitter @laurabratton and @YahooFinance .",positive,"nvda, nvidia, stock, investment, market"
" Facebook's parent company has filed a motion to end its antitrust trial . The FTC alleged that Meta abused its social-networking dominance as part of a “buy or bury” strategy to squash emerging threats . If Facebook loses the case, it could be forced to divest of Instagram and WhatsApp .  The Meta trial is only one of manyantitrust cases filed since 2020 that could break up Big Tech . On the stand, Zuckerberg disputed the idea that his company had any kind of monopoly .",negative,"antitrust, facebook, zuckerberg, trial, meta"
" With 3.4 billion daily active users, Meta is currently reaching nearly half of the globe . The unmatched reach has given Meta impressive pricing power in the digital ad space .  Meta has evolved from a mere college-based social networking site to a global digital advertising platform with a user base of 3.4 billion daily active users . The company's revenue increased 16% year over year to $42.3 billion, while net income rose 35% to $16.6 billion .  Meta has access to vast amounts of personalized data, enabling it to tailor its content recommendations, refine its ad targeting systems, and keep people engaged . The success of AI-recommended content is evident, as it has led to a 7% increase in time spent on Facebook, a 6% increase on Instagram, and 35% rise on Threads over the past six months .  Meta AI conversational assistant is used by nearly one billion monthly active users across the company's platforms . Recently, the company also launched a stand-alone Meta AI app in the U.S. and Canada . The company aims to build greater user engagement with this application in 2025 .  Meta Platforms grew 16% year over year to $42.3 billion in Q1, surpassing consensus estimates . Operating income rose 27% to $17.6 billion, representing a 41% operating margin . Net profit margin of 39% was 39% . The company carried $70.2 billion in cash and $28.8 billion in debt on its balance sheet at the end of Q1 .  The Motley Fool’s total average return is 967% — a market-crushing outperformance compared to171% for the S&P 500 . Consider when Netflixmade this list on December 17, 2004... if you invested $1,000 at the time of our recommendation,you’d have $635,275!  The Motley Fool's board of directors has no position in Microsoft . Microsoft is one of the largest tech companies in the world and has a history of beating the stock market .",positive,"facebook, meta, advertising, ai, instagram"
" Nvidia Corp. shares have found their way again as doubts about Big Tech spending subside . The stock rallied this week and is on track for the best month in a year . Nvidia’s biggest customers remain full-steam ahead on capital spending related to artificial intelligence infrastructure .  Nvidia has blown through both its 50-day and 200-day moving averages . The rally has added about $1 trillion in market capitalization since its April low, pushing it ahead of Apple .  Nvidia’s latest rally marks a stark turnaround from the biggest drawdown in the stock since 2022 . At $3.29 trillion, Nvidia is now second only to Microsoft Corp. in market capitalization .  Bank of America raised its price target on Nvidia to $160 from $150 . Wall Street remains almost uniformly positive on the stock, as 87% of the analysts tracked by Bloomberg recommend buying . Nvidia trades about 20% below the average analyst price target .  Nvidia is expected to grow revenue 54% in its 2026 fiscal year . The company is due to report it’s next batch of earnings after the market close on May 28 . The S&P 500 Index carries a multiple of 21.6 .  China’s long-moribund tech sector started 2025 with a bang . Alibaba Group Holding Ltd. shares plunged their most in more than a month Friday . Nintendo Co. aims to transition from one Switch per family to one per person, encouraging households to have multiple Switches .  Elon Musk’s artificial intelligence chatbot Grok blamed unsanctioned changes to its system for responses this week that included controversial theories about “white genocide” in South Africa . No major earnings are expected Friday .",positive,"nvidia, stock, market, shares, analysts"
" Meta Platforms(META) has been one of the most searched-for stocks on Zacks.com lately . Shares of this social media company have returned +28.4% over the past month versus the Zacks S&P 500 composite's +9.8% change .  Meta Platforms is expected to post earnings of $5.84 per share for the current quarter, representing a year-over-year change of +13.2%. Over the last 30 days, the Zacks Consensus Estimate has changed +4.2% The consensus earnings estimate for the next fiscal year is $25.52 .  Meta Platforms has a Zacks Rank #3 (Hold) for its forward 12-month consensus EPS estimate . Over the past month, the estimate for the company has changed +1% from what it is expected to report a year ago . Meta Platform's earnings growth is arguably the best indicator of its financial health .  Meta Platforms reported revenues of $42.31 billion in the last reported quarter, representing a year-over-year change of +16.1% . The company beat consensus EPS estimates in each of the trailing four quarters . The Zacks Consensus Estimate of $41.24 billion was a surprise of +2.61% .  The Zacks Value Style Score organizes stocks into five groups ranging from A to F . Meta Platforms is graded D on this front, indicating that it is trading at a premium to its peers .  Meta Platforms' Zacks Rank #3 does suggest that it may perform in line with the broader market in the near term . However, its Zacks rank #3 suggests it may outperform in the long run of the year .",negative,"earnings, revenues, meta, stocks, estimates"
" AppLovin Corp. is an artificial intelligence-boosted tech stock that outclimbed Nvidia and other Wall Street darlings over the last three years . APP posted another impressive beat-and-raise quarter on May 7 .  AppLovin is projected to post impressive double-digit earnings and revenue growth in 2025 and 2026 . The tech stock could break out once it retakes a key technical level . The Palo Alto-based firm’s solutions were originally tailored toward mobile app developers in the gaming realm .  AppLovin almost doubled its sales (+93%) in 2021 . The company followed up with 43% sales growth in 2024 and 362% EPS growth . APP launched its advanced machine learning and AI-driven AXON technology in the second quarter of 2023 .  APP grew its Q1 revenue by 40% and its adjusted earnings by 150%, topping our estimate by 15%. The company’s strong guidance, which came in the face of short-seller reports, pushed its EPS estimates even higher . APP is projected to earn a Zacks Rank #1 (Strong Buy)  AppLovin faced significant scrutiny from multiple short-seller reports that challenged the integrity of its AI-powered advertising platform and business practices . It hired a legal team at the end of March, retaining ‘Alex Spiro of Alex Spiro’  AppLovin announced on May 7, when it reported earnings, that it sold its mobile gaming segment to Tripledot Studios for $400 million . Quinn Emanuel Urquhart & Sullivan, a nationally recognized legal firm with deep expertise in securities and corporate investigations, will conduct an independent review and investigation .  AppLovin trades at a 90% discount to its all-time highs and 50% below its recent highs at 41.8X forward 12-month earnings . Boise Cascade is one of the top North American producers of engineered wood products and plywood .  Boise Cascade missed our Q1 2025 earnings estimate by 22% on May 5 . It also offered disappointing guidance as part of Boise Cascade’s extended trend of downward EPS revisions . BCC posted an impressive stretch of top-line expansion between 2012 and 2022, highlighted by 18% growth in 2020 and 45% in 2021 .  Boise Cascade is prepared to benefit from long-term demographic trends . The company also pays dividends and has a sturdy balance sheet . Unfortunately, BCC faces near-term headwinds driven by weak housing market demand, economic uncertainty, and more .  AppLovin Corp. has seen its stock decline 26% over the past three months, worse than the industry’s 15% decline . Competitors in the in-game mobile advertising space have also faced headwinds . APP has surged 64% in the past month, signaling a strong rebound .  AppLovin’s latest earnings report reinforces its strong financial health and growth trajectory . The company continues to benefit from its AXON 2.0 technology and strategic expansion within the gaming and in-app advertising sectors . In the first quarter of 2025, revenues surged 40% year over year .  APP presents a compelling investment opportunity due to its impressive financial performance and robust growth prospects . The Zacks Consensus Estimate for second-quarter 2025 earnings is $2.01 per share, indicating an impressive 125.8% increase from the prior-year quarter . AppLovin's recent results and strategic initiatives underscore its potential for continued success in the gaming and gaming industry .  AppLovin’s strong fundamentals, innovative technology and strategic growth initiatives position it as a leader in its industry . APP currently sports a Zacks Rank #1 (Strong Buy)  This material is being provided for informational purposes only and nothing herein constitutes investment, legal, accounting or tax advice, or a recommendation to buy, sell or hold a security . Past performance is no guarantee of future results .  The S&P 500 is an unmanaged index that were rebalanced monthly with zero transaction costs . These are not the returns of actual portfolios of stocks .",positive,"applovin, app, stock, developers, sales"
