summary,sentiment,keywords
" Microsoft (MSFT) is the largest driver of Nvidia’s revenue, followed by Meta (META), Amazon (AMZN), and Google parent Alphabet (GOOG) Tesla (TSLA) is Nvidia's 15th largest customer . Meta accounts for 25% of Meta's capital expenditures go to Nvidia .  Microsoft, Amazon, and Google are set to spend north of $330 billion, cumulatively, this year . Big Tech also props up Nvidia indirectly . Microsoft accounted for 72% of CoreWeave’s revenue in its most recent fiscal quarter .  Nvidia is set to report its fiscal year 2026 first quarter results on May 28 . Microsoft, Meta, Google, and Amazon have all developed their own custom AI chips tailored to their specific workloads .  Nvidia's data center revenue is expected to jump 74% to $39 billion in the first quarter . Meta raised its capital expenditure outlook for 2025, forecasting spending will now fall between $64 billion and $72 billion .  Yahoo Finance offers the latest business and finance news from around the world . Follow us on Twitter @YahooFinance and @YFinance . In the U.S. and abroad, follow us on Facebook and Twitter .",neutral,"nvidia, revenue, microsoft, billion, expenditures"
" Nvidia is preparing to launch a new AI chip for the Chinese market . The move signals Nvidia's effort to retain a foothold in China’s $50 billion data center market . UBS analysts slashed their Nvidia estimates to reflect what may be a bigger impact from the H20 ban .  Nvidia plans cheaper AI chip for China to navigate U.S. export curbs . “We are effectively foreclosed from China’s $50 billion data center market,” an Nvidia spokesperson told Reuters .",negative,"nvidia, china, chinese, estimates, market"
" As of the closing bell on May 20, the three major stock market indexes are essentially at break-even returns on the year . At one point, each of the major indexes had dropped by double digit percentage points . While the Nasdaq Composite has recovered from its 20% decline, some technology stocks are still trading for unusually low valuations .  Nasdaq has bounced back considerably in recent weeks, some technology stocks are still trading for lower-than-usual valuations . The chart below illustrates price returns for a number of different technology-themed investments, particularly in the artificial intelligence (AI) sector . Shares of the Invesco QQQ ETF have gained roughly 2% on the year .  Shares of Palantir Technologies have soared to new highs -- making it one of the biggest outliers among popular AI stocks . Despite a brief dip back in February, shares of Tesla may appear deflated, the stock has been experiencing a lot of momentum .  Nvidia,Advanced Micro Devices,Broadcom, andTaiwan Semiconductor Manufacturing are some of the more obvious names that come to mind . Each of these stocks is hovering around break-even levels on the year (essentially on par with the Nasdaq-100)  Now is a good opportunity to buy beaten-down AI stocks -- particularly in the semiconductor space . Given how volatile the technology sector can be, it's important for investors to consider valuation before buying growth stock .  Stock Advisor’s total average return is 957% — a market-crushing outperformance compared to167%for the S&P 500 . Don’t miss out on the latest top 10 list, available when you join Stock Advisor .  The Motley Fool recommends Broadcom and recommends the following options: long January 2026 $395 calls on Microsoft . Manufacturing, and Tesla Manufacturing, are also mentioned in this article .",negative,"stocks, nasdaq, stock, investments, investors"
" Ken Griffin has amassed a net worth of more than $44 billion since founding Citadel Securities in 1990 . Citadel Securities reported its largest trading revenue haul to date in March 2025, with 55% gains .  Citadel slashed its Nvidia stock position roughly in half, selling 1,555,264 shares in the first quarter of 2025 . Griffin hasn’t embraced AI as much as some of his peers .  Citadel increased its stake in the chipmaker by more than 300%, adding 2,786,115 shares to its position during Q1, a current market value of roughly $326 million . While it’s often overshadowed by Nvidia, AMD stock seems to be a favorite of Griffin .  Wall Street is quite bullish on the two stocks, which maintain 34 and 22 buy ratings . However, when someone like Ken Griffin bets big on one stock while trimming his position in the other, investors are likely to listen .  AMD may be able to draft off of Nvidia’s ‘growing pains’ in ramping these new system solutions this year, analyst says . “The story in our eyes still hinges on the new family of AI solutions coming next year, but customer traction among US hyperscalers is gaining momentum,” he stated .",negative,"stocks, stock, investors, amd, griffin"
" Nvidia's shares are currently down by roughly 10% from an all-time high of $149 reached in January . The company's first-quarter earnings report expected on May 28 will give us important clues about what the future might bring .  Nvidia's revenue surged by 78% year over year to $39.3 billion in the fourth quarter . New product releases are a significant growth engine because, despite their high price tags, customers are still willing to shell out because better hardware can help them make money by allowing them to run greater workloads more efficiently .  Nvidia's first-quarter results may fall on the lower side of guidance or come in lower than expected . The company's guidance was released in late February before the Trump administration unleashed its ""reciprocal tariff"" policy . Nvidia remains committed to the Chinese market, which Huang believes represents a $50 billion annual revenue .  Nvidia plans to release a downgraded version of its H20 in China over the next few months . The company has also opened a research and development lab in Shanghai to stay competitive . Nvidia faces some serious risks to the viability of its China business .  The Motley Fool’s total average return is 957% — a market-crushing outperformance compared to167% for the S&P 500 . Consider when Netflixmade this list on December 17, 2004... if you invested $1,000 at the time of our recommendation,you’d have $639,271!",negative,"nvidia, china, outperformance, tariff, revenue"
" Nvidia remains the top player in data center chips, but AMD is scaling up at an impressive pace . Partnerships with the likes of Oracle, Microsoft, and Meta Platforms should give it a big boost .  AMD's share price has declined 31% over the last year . AMD reports its financials across three business segments: Data center, client and gaming, and embedded . The data center segment competes directly with Nvidia, and recent trends in this unit have really caught my eye .  AMD has nearly doubled its operating income in the chip business over the past year . AMD's CEO Lisa Su sounds quite confident that these products will be a big hit with customers . Nvidia launched its newest graphics processing unit (GPU) architecture during the fourth quarter .  AMD's data center business will continue generating a combination of revenue growth and margin expansion . Microsoft,Oracle, andMeta Platforms are using AMD's MI300 accelerators in addition to their respective Nvidia GPUs . Amazon recently made a strategic investment in AMD, which could signal partnership opportunities .  AMD isn't getting much credit for the growth in its data center business . I think the stock is cheap based on forward earnings, and long-term investors should consider holding on to a position in AMD over the next several years .  Stock Advisor’s total average return is 957% — a market-crushing outperformance compared to167%for the S&P 500 . Don’t miss out on the latest top 10 list, available when you join Stock Advisor .  A Once-in-a-Decade Investment Opportunity: 1 Artificial Intelligence (AI) Chip Stock to Buy Hand Over Fist Right This Instant (Hint: It's Not Nvidia)",negative,"amd, nvidia, gpu, gpus, stock"
" Rain AI, a San Francisco-based chip startup, is exploring a sale after its ambitious $150 million Series B funding round failed to secure investors . Rain AI aimed to develop neuromorphic chips designed to process AI workloads more efficiently by mimicking how the human brain functions .  Rain AI's chips would deliver better performance at a fraction of the power consumption compared to traditional graphics processing units, making them ideal for generative AI models . Testing showed promising results, but the company failed to secure major commercial contracts or letters of intent .  Rain AI has entered ""good progress"" in acquisition talks with multiple interested parties . The company is in talks with several high-profile technology firms . Will Passo, Rain AI's co-founder and original CEO, stepped down citing personal reasons, and Kendall has since taken over .  Altman had previously pitched OpenAI investors to support Rain AI's Series B, aiming for a $600 million valuation . The Post reports that Nvidia, Elon Musk'sxAI, Microsoft, and BlackRock are among the giants investing more than $30 billion to build the next generation of AI infrastructure .  OpenAI, Nvidia, and Microsoft are among the AI chip makers to be sold for $0.30/share . The company is set to sell its pre-IPO shares at $1.50 per share . The tech giant is also set to launch a self-funded AI chip company called Rain AI .",positive,"ai, investors, microsoft, openai, makers"
" Nvidia will launch a new artificial intelligence chip for China at a significantly lower price than its recently restricted H20 model . The chip is expected to be priced between $6,500 and $8,000, well below the $10,000-$12,000 the H20 sold for . The lower price reflects its weaker specifications and simpler manufacturing requirements .  China remains a huge market for Nvidia, accounting for 13% of its sales in the past financial year . It's the third time Nvidia has had to tailor a GPU for the world's second-largest economy after restrictions from U.S. authorities .  Chinese brokerage GF Securities said in a note published on Tuesday that the new GPU would likely be called the 6000D or the B40 . Nvidia's market share in China has plummeted from 95% before 2022, when U.S. export curbs that impacted its products began, to 50% currently .  Huang told the Stratechery podcast on Monday that the company also had to walk away from $15 billion in sales . The latest export restrictions introduced new limits on GPU memory bandwidth . This capability is particularly important for AI workloads that require extensive data processing .",negative,"nvidia, gpu, china, 6000d, chinese"
" Nvidia will launch a new artificial intelligencechipset for China at a significantly lower price than its recently restricted H20 model . The new chip will be based on Nvidia's RTX Pro 6000D, a server-class graphics processor . The lower price reflects its weaker specifications and simpler manufacturing requirements .  China remains a huge market for Nvidia, accounting for 13% of its sales in the past financial year . It's the third time that Nvidia has had to tailor a GPU for the world's second-largest economy after restrictions from U.S. authorities .  Chinese brokerage GF Securities said in a note published on Tuesday that the new GPU would likely be called the 6000D or the B40 . Two sources said Nvidia is also developing another Blackwell-architecture chip for China that is set to begin production as early as September .  Nvidia to write off $5.5 billion in inventory and $15 billion in sales . Huang told the Stratechery podcast on Monday that the company also had to walk away from $15 . Huang: New regulations cap memory bandwidth at 1-1.8 terabytes per second .",negative,"nvidia, gpu, processor, china, 6000d"
" Nvidia CEO Jensen Huang praised President Donald Trump's efforts to boost U.S. technology . The chipmaker announced a partnership with a group of Swedish businesses to develop AI infrastructure in Sweden . Nvidia has announced a number of similar partnerships in recent weeks in Saudi Arabia and UAE .  Huang received an honorary doctorate from Linkoping University in Sweden . Huang said many policies related to re-industrialization were ""very visionary"" The Trump administration has introduced sweeping tariffs saying they would stimulate growth, bring home manufacturing jobs and raise tax revenues .  Polish President Barack Obama has been elected to the presidency of Poland in 2008 . Obama took office last month after a series of corruption allegations against him . Obama was elected to office in 2008 after a string of corruption charges were dropped .",positive,"obama, poland, nvidia, barack, tariffs"
